

--- Monitor Started at 2026-03-25T04:47:04.863Z ---
[BATT] ADC=1852 V=6.35 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1856 V=6.33 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1856 V=6.31 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1849 V=6.30 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2036 V=6.31 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.29 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2034 V=6.31 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1813 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1857 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2034 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2033 V=6.30 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1853 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2027 V=6.29 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1833 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2033 V=6.29 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2033 V=6.30 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1857 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2032 V=6.30 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2034 V=6.30 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1859 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1856 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2032 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2034 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2032 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2033 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1856 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2030 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2031 V=6.29 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1855 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1855 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1857 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1856 V=6.24 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2031 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1850 V=6.24 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2033 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1852 V=6.24 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1855 V=6.23 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2032 V=6.24 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1859 V=6.23 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2029 V=6.24 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1853 V=6.23 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2028 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1862 V=6.23 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1858 V=6.22 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.21 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2034 V=6.23 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2034 V=6.24 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2032 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2032 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2031 V=6.29 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1851 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2028 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1853 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2034 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1787 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2034 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1852 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2031 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1856 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2029 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1852 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.24 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1853 V=6.23 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.22 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2030 V=6.23 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.22 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.21 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1857 V=6.20 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.19 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1852 V=6.17 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1854 V=6.16 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2032 V=6.18 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1852 V=6.17 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
