

--- Monitor Started at 2026-04-04T11:54:01.924Z ---
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
L:-4 R:8 | vL:-0.0 vR:0.0 | θ:147.9° LiDAR:OK
