

--- Monitor Started at 2026-04-06T13:13:56.200Z ---
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:0 R:0 | vL:0.0 vR:0.0 | θ:-102.2° LiDAR:OK
L:162 R:180 | vL:2.0 vR:2.2 | θ:-102.2° LiDAR:OK
L:484 R:525 | vL:2.3 vR:2.5 | θ:-102.0° LiDAR:OK
L:590 R:643 | vL:0.2 vR:0.2 | θ:-101.8° LiDAR:OK
L:590 R:643 | vL:0.0 vR:0.0 | θ:-101.8° LiDAR:OK
L:643 R:568 | vL:0.9 vR:-1.3 | θ:-102.1° LiDAR:OK
L:894 R:289 | vL:2.0 vR:-2.2 | θ:-107.4° LiDAR:OK
L:1200 R:-33 | vL:2.4 vR:-2.5 | θ:-114.3° LiDAR:OK
L:1554 R:-394 | vL:2.5 vR:-2.6 | θ:-122.3° LiDAR:OK
L:1629 R:-460 | vL:0.1 vR:-0.1 | θ:-124.8° LiDAR:OK
L:1439 R:-253 | vL:-1.8 vR:2.0 | θ:-122.8° LiDAR:OK
L:1175 R:23 | vL:-1.7 vR:1.7 | θ:-116.7° LiDAR:OK
L:1125 R:78 | vL:-0.1 vR:0.1 | θ:-115.1° LiDAR:OK
